customer,quarter,purchase,order_quantity,crossbuy,ret_expense,ret_expense_sq
19,10,0,0,0,0,0
19,11,0,0,0,0,0
19,12,0,0,0,44.04,1939.52
20,1,1,96.35,1,32.3,1043.29
20,2,0,0,0,0,0
20,3,1,139.88,1,0,0
20,4,1,165.28,1,0,0
20,5,1,211.86,1,0,0
20,6,1,296.25,4,0,0
20,7,1,273.56,4,18.28,334.16
20,8,0,0,0,0,0
20,9,0,0,0,0,0
20,10,0,0,0,0,0
20,11,0,0,0,38.95,1517.1
20,12,0,0,0,0,0
21,1,1,301.43,1,0,0
21,2,1,381.47,4,28.27,799.19
21,3,1,265.15,2,28.52,813.39
21,4,1,209.64,1,0,0
21,5,1,187.2,1,0,0
21,6,1,193.99,1,6.83,46.65
21,7,0,0,0,0,0
21,8,0,0,0,0,0
21,9,0,0,0,26.96,726.84
21,10,0,0,0,0,0
21,11,0,0,0,38.79,1504.66
21,12,0,0,0,0,0
22,1,1,307.99,2,14.65,214.62
22,2,1,439.27,2,29.43,866.12
22,3,1,346.69,3,0,0
22,4,1,488.14,4,8.84,78.15
22,5,1,578.92,2,0,0
22,6,1,344.33,5,0,0
22,7,1,340.48,2,22.89,523.95
22,8,1,192.44,2,37.34,1394.28
22,9,1,244.09,4,28.51,812.82
22,10,1,262.52,1,0,0
22,11,1,228.2,1,32.94,1085.04
22,12,0,0,0,0,0
23,1,1,272.67,1,0,0
23,2,1,158.15,1,28.21,795.8
23,3,1,227.31,1,0,0
23,4,1,190.08,1,0,0
23,5,0,0,0,0,0
23,6,0,0,0,18.23,332.33
23,7,0,0,0,0,0
23,8,0,0,0,18.96,359.48
23,9,0,0,0,38.05,1447.8
23,10,0,0,0,6.2,38.44
23,11,0,0,0,0,0
23,12,0,0,0,22.3,497.29
24,1,1,206.05,1,0,0
24,2,1,136.47,1,0,0
24,3,1,171.33,1,0,0
24,4,1,234.95,1,9.74,94.87
24,5,1,252.04,1,8.21,67.4
24,6,1,254.67,1,31.27,977.81
24,7,1,147.53,1,52.79,2786.78
24,8,1,207.44,1,0,0
24,9,1,225.53,1,0,0
24,10,1,212.67,1,0,0
24,11,1,199.14,1,0,0
24,12,1,203.71,1,0,0
25,1,1,217.07,1,0,0
25,2,1,214.58,1,15.04,226.2
25,3,1,210.3,1,26.23,688.01
25,4,1,140.85,1,31.87,1015.7
25,5,0,0,0,55.06,3031.6
25,6,0,0,0,0,0
25,7,0,0,0,0,0
25,8,0,0,0,24.93,621.5
25,9,0,0,0,0,0
25,10,0,0,0,36.97,1366.78
25,11,0,0,0,0,0
25,12,0,0,0,0,0
26,1,1,297.18,2,49.72,2472.08
26,2,1,439.22,2,15.3,234.09
26,3,1,253.57,1,46.12,2127.05
26,4,1,227.4,1,51.03,2604.06
26,5,1,225.27,1,0,0
26,6,1,247.12,1,0,0
26,7,0,0,0,20.23,409.25
26,8,0,0,0,0,0
26,9,0,0,0,0,0
26,10,0,0,0,0,0
26,11,0,0,0,0,0
26,12,0,0,0,0,0
27,1,1,296.1,2,50.14,2514.02
27,2,1,288.53,1,14.43,208.22
27,3,1,271.3,3,0,0
27,4,0,0,0,0,0
27,5,0,0,0,0,0
27,6,0,0,0,0,0
27,7,0,0,0,0,0
27,8,0,0,0,38.19,1458.48
27,9,0,0,0,0,0
27,10,0,0,0,21.01,441.42
27,11,0,0,0,0,0
27,12,0,0,0,0,0
28,1,1,215.01,3,0,0
28,2,0,0,0,0,0
28,3,0,0,0,13.38,179.02
28,4,0,0,0,0,0
28,5,0,0,0,0,0
28,6,0,0,0,0,0
28,7,0,0,0,0,0
28,8,0,0,0,0,0
28,9,0,0,0,0,0
28,10,0,0,0,0,0
28,11,0,0,0,0,0
28,12,1,96.48,1,0,0
29,1,1,270.45,1,0,0
29,2,1,279.84,1,0,0
29,3,1,403.64,2,0,0
29,4,1,294.99,2,0,0
29,5,1,259.7,1,0,0
29,6,1,216.16,1,0,0
29,7,1,251.49,1,0,0
29,8,1,196.98,1,45.74,2092.15
29,9,1,163.96,1,0,0
29,10,1,222.23,4,19.83,393.23
29,11,1,338.11,2,0,0
29,12,0,0,0,48.98,2399.04
30,1,1,176.9,1,8.97,80.46
30,2,1,207.13,1,47.88,2292.49
30,3,1,233.34,3,0,0
30,4,1,357.6,4,0,0
30,5,1,244.32,4,0,0
30,6,1,278.78,3,0,0
30,7,1,344.2,2,0,0
30,8,1,300.87,2,16.55,273.9
30,9,1,230.43,3,0,0
30,10,1,228.74,1,44.25,1958.06
30,11,0,0,0,0,0
30,12,0,0,0,0,0
31,1,1,204.96,1,18,324
31,2,1,258.7,3,0,0
31,3,1,228.53,1,25.09,629.51
31,4,1,225.61,1,9.2,84.64
31,5,1,163.44,1,0,0
31,6,1,109.92,1,0,0
31,7,0,0,0,0,0
31,8,0,0,0,40.43,1634.58
31,9,0,0,0,42.49,1805.4
31,10,0,0,0,25.33,641.61
31,11,0,0,0,0,0
31,12,0,0,0,0,0
32,1,1,226.92,2,48.29,2331.92
32,2,1,235.66,2,18.63,347.08
32,3,1,209.47,1,0,0
32,4,1,214.79,1,0,0
32,5,0,0,0,0,0
32,6,0,0,0,51.63,2665.66
32,7,0,0,0,0,0
32,8,0,0,0,0,0
32,9,0,0,0,0,0
32,10,0,0,0,31.84,1013.79
32,11,0,0,0,0,0
32,12,0,0,0,0,0
33,1,1,158.23,1,45.31,2053
33,2,0,0,0,46.62,2173.42
33,3,0,0,0,28.06,787.36
33,4,0,0,0,50.67,2567.45
33,5,0,0,0,45.61,2080.27
33,6,0,0,0,50.79,2579.62
33,7,0,0,0,0,0
33,8,0,0,0,0,0
33,9,1,161.14,1,31.04,963.48
33,10,1,190.32,1,14,196
33,11,1,207.43,1,0,0
33,12,1,241.41,3,0,0
34,1,1,313.27,2,0,0
34,2,1,189.28,1,8.39,70.39
34,3,1,188.24,1,29.68,880.9
34,4,1,156.36,1,29.54,872.61
34,5,1,148.08,1,0,0
34,6,1,254.92,4,7.91,62.57
34,7,1,326.25,1,33.93,1151.24
34,8,1,265.58,1,0,0
34,9,1,357.63,5,10.77,115.99
34,10,0,0,0,0,0
34,11,0,0,0,21.38,457.1
34,12,0,0,0,0,0
35,1,1,226.16,1,44.58,1987.38
35,2,1,242.82,2,20.31,412.5
35,3,1,251.97,1,0,0
35,4,1,283.08,1,0,0
35,5,1,389.57,1,33.04,1091.64
35,6,1,337.04,2,34.42,1184.74
35,7,1,182.79,1,49.17,2417.69
35,8,1,218.82,1,29.7,882.09
35,9,0,0,0,0,0
35,10,0,0,0,0,0
35,11,0,0,0,26.36,694.85
35,12,0,0,0,20.14,405.62
36,1,1,160.34,1,0,0
36,2,1,167.49,1,0,0
36,3,1,284.62,4,15.92,253.45
36,4,1,282.54,2,0,0
36,5,1,355.98,4,0,0
36,6,1,215.06,1,0,0
36,7,1,337.76,1,0,0
36,8,1,345.86,1,24.78,614.05
36,9,1,293.99,2,0,0
36,10,1,253.58,1,48.75,2376.56
36,11,1,252.98,1,0,0
36,12,1,356.53,4,0,0
37,1,1,303.99,2,0,0
37,2,1,172.6,1,17.76,315.42
37,3,0,0,0,0,0
37,4,0,0,0,0,0
37,5,0,0,0,21.33,454.97
37,6,0,0,0,0,0
37,7,0,0,0,0,0
37,8,0,0,0,0,0
37,9,0,0,0,0,0
37,10,0,0,0,0,0
37,11,0,0,0,0,0
37,12,0,0,0,11.64,135.49
38,1,1,180.01,1,0,0
38,2,1,228.34,1,18.49,341.88
38,3,0,0,0,0,0
38,4,0,0,0,48.16,2319.39
38,5,0,0,0,0,0
38,6,0,0,0,0,0
38,7,0,0,0,0,0
38,8,0,0,0,12.81,164.1
38,9,0,0,0,0,0
38,10,0,0,0,0,0
38,11,0,0,0,0,0
38,12,0,0,0,49.51,2451.24
39,1,1,155.86,1,0,0
39,2,1,164.23,1,0,0
39,3,1,303.89,2,0,0
39,4,1,229.61,1,0,0
39,5,1,154.1,1,0,0
39,6,1,265.04,1,0,0
39,7,1,198.84,1,0,0
39,8,1,166.65,1,52.43,2748.9
39,9,1,193.05,1,0,0
39,10,1,248.98,1,0,0
39,11,1,222.75,1,0,0
39,12,1,144.4,1,0,0
40,1,1,268.59,2,56.55,3197.9
40,2,1,388.68,1,0,0
40,3,1,280.84,1,0,0
40,4,1,314.72,3,0,0
40,5,1,255.75,1,40.51,1641.06
40,6,1,259.45,1,27.35,748.02
40,7,1,218.73,1,42.93,1842.98
40,8,1,201.91,1,0,0
40,9,1,189.83,1,42.03,1766.52
40,10,0,0,0,0,0
40,11,0,0,0,0,0
40,12,0,0,0,0,0
41,1,1,175.66,3,36.16,1307.55
41,2,1,186.84,1,0,0
41,3,1,262.86,1,34.06,1160.08
41,4,1,355.65,1,0,0
41,5,1,327.53,2,37.32,1392.78
41,6,1,194.92,1,0,0
41,7,1,191.31,1,0,0
41,8,1,175.91,1,0,0
41,9,1,283.91,3,16.27,264.71
41,10,1,368.47,2,15.44,238.39
41,11,1,212.52,1,0,0
41,12,0,0,0,0,0
42,1,1,214.27,4,58.49,3421.08
42,2,1,193.13,1,0,0
42,3,1,307.19,2,42.03,1766.52
42,4,1,330.11,2,38.32,1468.42
42,5,1,299.63,4,0,0
42,6,1,292.42,2,18.92,357.97
42,7,1,213.21,1,0,0
42,8,1,231.29,1,5.11,26.11
42,9,1,226.4,2,35.67,1272.35
42,10,1,255.34,2,0,0
42,11,1,192.17,1,0,0
42,12,0,0,0,0,0
43,1,1,212.12,2,0,0
43,2,1,196.53,2,0,0
43,3,0,0,0,0,0
43,4,0,0,0,47.48,2254.35
43,5,0,0,0,37.46,1403.25
43,6,1,132.9,4,37.17,1381.61
43,7,1,271.42,2,0,0
43,8,1,253.06,5,14.5,210.25
43,9,1,235.09,3,38.06,1448.56
43,10,1,234.97,2,0,0
43,11,1,357.66,4,24.63,606.64
43,12,1,357.87,4,0,0
44,1,1,230.98,1,42.69,1822.44
44,2,1,171.65,1,47.39,2245.81
44,3,1,221.26,1,0,0
44,4,1,223.74,3,0,0
44,5,0,0,0,0,0
44,6,0,0,0,0,0
44,7,0,0,0,24.13,582.26
44,8,0,0,0,31.38,984.7
44,9,0,0,0,50.75,2575.56
44,10,0,0,0,13.4,179.56
44,11,0,0,0,0,0
44,12,0,0,0,21.21,449.86
45,1,1,286.71,1,0,0
45,2,0,0,0,0,0
45,3,0,0,0,0,0
45,4,0,0,0,41.89,1754.77
45,5,0,0,0,35.36,1250.33
45,6,1,126,1,0,0
45,7,1,196.26,1,49.3,2430.49
45,8,1,222.07,1,0,0
45,9,1,303.46,1,0,0
45,10,1,275.65,1,0,0
45,11,1,240.68,1,22.62,511.66
45,12,1,385.65,3,31.23,975.31
46,1,1,321.67,2,21.1,445.21
46,2,0,0,0,57.48,3303.95
46,3,0,0,0,46.01,2116.92
46,4,0,0,0,0,0
46,5,0,0,0,0,0
46,6,0,0,0,9.94,98.8
46,7,0,0,0,12.93,167.18
46,8,1,170,1,34.8,1211.04
46,9,1,300.43,2,0,0
46,10,1,262.97,3,0,0
46,11,1,426.39,3,0,0
46,12,1,574.2,2,17.69,312.94
47,1,1,151.89,1,0,0
47,2,1,180.78,1,40.78,1663.01
47,3,0,0,0,0,0
47,4,0,0,0,41.29,1704.86
47,5,0,0,0,0,0
47,6,0,0,0,55.64,3095.81
47,7,0,0,0,40.05,1604
47,8,0,0,0,0,0
47,9,0,0,0,0,0
47,10,1,152.63,1,21.91,480.05
47,11,1,186.57,1,15.52,240.87
47,12,1,185.25,1,5.41,29.27
48,1,1,90.1,2,0,0
48,2,1,222.03,2,0,0
48,3,1,198.59,2,0,0
48,4,0,0,0,0,0
48,5,0,0,0,0,0
48,6,0,0,0,36.09,1302.49
48,7,0,0,0,0,0
48,8,0,0,0,0,0
48,9,0,0,0,0,0
48,10,0,0,0,45.49,2069.34
48,11,0,0,0,49.97,2497
48,12,0,0,0,0,0
49,1,1,113.1,1,48.49,2351.28
49,2,0,0,0,27.77,771.17
49,3,0,0,0,0,0
49,4,0,0,0,0,0
49,5,0,0,0,0,0
49,6,0,0,0,16.61,275.89
49,7,0,0,0,11.12,123.65
49,8,0,0,0,0,0
49,9,0,0,0,0,0
49,10,0,0,0,0,0
49,11,0,0,0,0,0
49,12,0,0,0,0,0
50,1,1,214.06,2,18.21,331.6
50,2,1,165.84,1,48.33,2335.79
50,3,0,0,0,0,0
50,4,0,0,0,8.92,79.57
50,5,0,0,0,0,0
50,6,0,0,0,0,0
50,7,0,0,0,0,0
50,8,0,0,0,13.1,171.61
50,9,0,0,0,9.44,89.11
50,10,0,0,0,0,0
50,11,0,0,0,28.29,800.32
50,12,0,0,0,0,0
51,1,1,194.03,1,17,289
51,2,1,297.14,1,27.73,768.95
51,3,1,176.05,1,23.83,567.87
51,4,1,303.53,1,0,0
51,5,1,227.99,1,39.1,1528.81
51,6,0,0,0,54.02,2918.16
51,7,0,0,0,16.55,273.9
51,8,0,0,0,0,0
51,9,0,0,0,5.65,31.92
51,10,0,0,0,30.23,913.85
51,11,0,0,0,0,0
51,12,1,145.92,1,11.26,126.79
52,1,1,196.81,1,48.58,2360.02
52,2,1,205.8,3,40.62,1649.98
52,3,0,0,0,0,0
52,4,1,134.45,1,7.09,50.27
52,5,1,214.41,1,0,0
52,6,1,240.55,2,0,0
52,7,1,138.21,2,34.85,1214.52
52,8,1,289.94,2,0,0
52,9,1,231.58,4,0,0
52,10,1,343.19,2,48.96,2397.08
52,11,1,474.7,2,0,0
52,12,1,301.39,3,0,0
53,1,1,266.36,1,0,0
53,2,1,256.5,1,0,0
53,3,0,0,0,0,0
53,4,0,0,0,16.86,284.26
53,5,0,0,0,0,0
53,6,0,0,0,0,0
53,7,0,0,0,18.35,336.72
53,8,0,0,0,12.32,151.78
53,9,0,0,0,20.5,420.25
53,10,0,0,0,0,0
53,11,0,0,0,0,0
53,12,1,84.34,1,25.17,633.53
54,1,1,266.33,1,0,0
54,2,1,361.73,2,0,0
54,3,1,280.42,2,18.14,329.06
54,4,1,330.87,2,0,0
54,5,1,442.81,4,13.63,185.78
54,6,1,285.98,3,0,0
54,7,1,404.27,4,0,0
54,8,1,420.59,3,21.26,451.99
54,9,1,339.85,2,53.07,2816.42
54,10,1,281.45,2,0,0
54,11,1,275.96,4,0,0
54,12,1,235.52,2,0,0
55,1,1,57.25,1,11.38,129.5
55,2,1,196.81,1,25.53,651.78
55,3,1,288.83,3,35.64,1270.21
55,4,1,249.08,1,0,0
55,5,1,220.85,1,0,0
55,6,1,327.69,3,18.79,353.06
55,7,1,415.81,2,0,0
55,8,1,504.25,2,0,0
55,9,1,253.92,1,0,0
55,10,0,0,0,5.54,30.69
55,11,0,0,0,0,0
55,12,1,84.59,1,15.81,249.96
56,1,1,108.04,1,29.58,874.98
56,2,1,245.31,2,0,0
56,3,0,0,0,0,0
56,4,0,0,0,40.9,1672.81
56,5,0,0,0,12.72,161.8
56,6,0,0,0,32.21,1037.48
56,7,0,0,0,22.5,506.25
56,8,0,0,0,41.58,1728.9
56,9,0,0,0,0,0
56,10,0,0,0,0,0
56,11,0,0,0,0,0
56,12,0,0,0,52.23,2727.97
57,1,1,144.11,1,0,0
57,2,1,246.66,1,0,0
57,3,1,362.12,2,6.01,36.12
57,4,1,481.06,4,0,0
57,5,1,302.46,4,47.81,2285.8
57,6,1,223.3,1,0,0
57,7,1,336.12,3,0,0
57,8,1,441.12,2,0,0
57,9,1,286.77,2,0,0
57,10,1,406.13,2,0,0
57,11,1,265.94,4,36.29,1316.96
57,12,1,379.86,2,51.05,2606.1
58,1,1,119.23,1,0,0
58,2,0,0,0,0,0
58,3,0,0,0,30.05,903
58,4,0,0,0,0,0
58,5,0,0,0,0,0
58,6,0,0,0,34.41,1184.05
58,7,0,0,0,47,2209
58,8,0,0,0,0,0
58,9,0,0,0,0,0
58,10,0,0,0,13.9,193.21
58,11,0,0,0,0,0
58,12,0,0,0,0,0
59,1,1,51.26,1,0,0
59,2,1,199.28,2,0,0
59,3,1,333.05,2,0,0
59,4,1,481.98,2,0,0
59,5,1,269.08,4,0,0
59,6,1,378.74,4,0,0
59,7,1,288.83,2,24.66,608.12
59,8,1,216.85,1,0,0
59,9,1,201.14,1,28.91,835.79
59,10,1,283.44,1,0,0
59,11,1,415.72,2,0,0
59,12,1,294.57,2,0,0
60,1,1,326.15,4,0,0
60,2,1,194.15,1,37.79,1428.08
60,3,1,233.54,1,0,0
60,4,1,239.47,1,0,0
60,5,1,284.38,1,0,0
60,6,1,437.3,2,0,0
60,7,1,280.82,1,0,0
60,8,0,0,0,0,0
60,9,0,0,0,16.33,266.67
60,10,0,0,0,0,0
60,11,0,0,0,0,0
60,12,0,0,0,37.96,1440.96
61,1,1,146.91,2,0,0
61,2,1,86.37,1,0,0
61,3,1,150.33,1,0,0
61,4,1,174.53,5,0,0
61,5,1,210.87,1,18.42,339.3
61,6,1,343.48,3,47.19,2226.9
61,7,1,408.07,2,0,0
61,8,1,302.5,5,0,0
61,9,1,403.98,3,0,0
61,10,1,335.11,2,0,0
61,11,1,279.03,5,49.66,2466.12
61,12,1,323.33,4,29.34,860.84
62,1,1,168.21,1,0,0
62,2,1,192.79,1,0,0
62,3,1,161.44,1,37.58,1412.26
62,4,0,0,0,0,0
62,5,0,0,0,0,0
62,6,0,0,0,12.01,144.24
62,7,1,157.09,1,14.53,211.12
62,8,1,173.55,1,52.61,2767.81
62,9,1,213.88,1,17.91,320.77
62,10,1,304.83,3,0,0
62,11,1,256.71,1,0,0
62,12,1,274.39,1,0,0
63,1,1,160.95,1,0,0
63,2,1,198.71,1,0,0
63,3,1,200.87,1,0,0
63,4,1,233.87,1,50.03,2503
63,5,1,221.77,1,21.47,460.96
63,6,1,341.73,1,0,0
63,7,1,230.45,1,0,0
63,8,0,0,0,0,0
63,9,0,0,0,0,0
63,10,0,0,0,0,0
63,11,0,0,0,8.86,78.5
63,12,0,0,0,8.81,77.62
64,1,1,308.72,2,0,0
64,2,1,197.75,1,0,0
64,3,0,0,0,0,0
64,4,0,0,0,0,0
64,5,0,0,0,0,0
64,6,1,150.87,1,24.92,621.01
64,7,1,241.59,1,0,0
64,8,1,151.81,1,0,0
64,9,0,0,0,0,0
64,10,0,0,0,0,0
64,11,0,0,0,44.68,1996.3
64,12,0,0,0,0,0
65,1,1,94.17,1,0,0
65,2,0,0,0,0,0
65,3,0,0,0,21.4,457.96
65,4,0,0,0,48.17,2320.35
65,5,0,0,0,0,0
65,6,0,0,0,28,784
65,7,0,0,0,0,0
65,8,0,0,0,14.22,202.21
65,9,0,0,0,0,0
65,10,0,0,0,1.92,3.69
65,11,0,0,0,0,0
65,12,0,0,0,0,0
66,1,1,156.83,1,0,0
66,2,1,238.28,1,0,0
66,3,1,141.62,1,0,0
66,4,1,208.65,1,0,0
66,5,0,0,0,0,0
66,6,0,0,0,0,0
66,7,1,73.36,1,0,0
66,8,1,111.05,1,0,0
66,9,0,0,0,0,0
66,10,0,0,0,20.6,424.36
66,11,0,0,0,0,0
66,12,1,80.92,1,30.33,919.91
67,1,1,297.69,3,0,0
67,2,1,312.34,3,0,0
67,3,1,271.8,2,45.74,2092.15
67,4,1,418.41,4,0,0
67,5,0,0,0,0,0
67,6,0,0,0,0,0
67,7,0,0,0,0,0
67,8,0,0,0,13.84,191.55
67,9,0,0,0,0,0
67,10,0,0,0,52.17,2721.71
67,11,0,0,0,4.87,23.72
67,12,0,0,0,26.26,689.59
68,1,1,189.26,2,0,0
68,2,1,209.44,2,0,0
68,3,1,339.65,3,0,0
68,4,1,270.05,3,0,0
68,5,0,0,0,0,0
68,6,0,0,0,0,0
68,7,0,0,0,0,0
68,8,0,0,0,0,0
68,9,0,0,0,15.3,234.09
68,10,0,0,0,0,0
68,11,0,0,0,33.08,1094.29
68,12,0,0,0,0,0
69,1,1,93.63,1,0,0
69,2,0,0,0,0,0
69,3,0,0,0,0,0
69,4,0,0,0,0,0
69,5,0,0,0,0,0
69,6,0,0,0,0,0
69,7,0,0,0,0,0
69,8,0,0,0,0,0
69,9,0,0,0,0,0
69,10,0,0,0,0,0
69,11,0,0,0,0,0
69,12,0,0,0,29.46,867.89
70,1,1,299.77,2,17.65,311.52
70,2,1,211.54,1,0,0
